/pmos/D (vsg_p=0) X,/pmos/D (vsg_p=0) Y,/pmos/D (vsg_p=0.2) X,/pmos/D (vsg_p=0.2) Y,/pmos/D (vsg_p=0.4) X,/pmos/D (vsg_p=0.4) Y,/pmos/D (vsg_p=0.8) X,/pmos/D (vsg_p=0.8) Y,/pmos/D (vsg_p=1) X,/pmos/D (vsg_p=1) Y,/pmos/D (vsg_p=0.6) X,/pmos/D (vsg_p=0.6) Y
0.7900000000000005,-5.115015643251289e-08,0.7900000000000005,-3.574308296557996e-06,0.7900000000000005,-8.26789062057611e-05,0.7900000000000005,-0.0008217669658002624,0.7900000000000005,-0.001302944382070081,0.7900000000000005,-0.0003850044675716777
0.8000000000000005,-5.275171947523301e-08,0.8000000000000005,-3.67141590235522e-06,0.8000000000000005,-8.405938680704419e-05,0.8000000000000005,-0.0008271869654189499,0.8000000000000005,-0.001310350354201023,0.8000000000000005,-0.0003885222644293916
0.8100000000000005,-5.439756900461824e-08,0.8100000000000005,-3.770699342628606e-06,0.8100000000000005,-8.545178958685141e-05,0.8100000000000005,-0.0008325909783034751,0.8100000000000005,-0.001317712296861534,0.8100000000000005,-0.0003920424503685622
0.8200000000000005,-5.608886510371775e-08,0.8200000000000005,-3.872200300443407e-06,0.8200000000000005,-8.685613486216927e-05,0.8200000000000005,-0.0008379795461164218,0.8200000000000005,-0.001325031631643863,0.8200000000000005,-0.0003955651380273748
0.8300000000000005,-5.782679776246803e-08,0.8300000000000005,-3.975961100807054e-06,0.8300000000000005,-8.827244246008344e-05,0.8300000000000005,-0.0008433531912650289,0.8300000000000005,-0.001332309718697085,0.8300000000000005,-0.0003990904367568119
0.8400000000000005,-5.961258759470214e-08,0.8400000000000005,-4.082024713718599e-06,0.8400000000000005,-8.970073169122329e-05,0.8400000000000005,-0.0008487124171641904,0.8400000000000005,-0.001339547860287218,0.8400000000000005,-0.0004026184526934077
0.8500000000000005,-6.144748657093488e-08,0.8500000000000005,-4.190434757038243e-06,0.8500000000000005,-9.114102132461781e-05,0.8500000000000005,-0.0008540577093458581,0.8500000000000005,-0.001346747304088008,0.8500000000000005,-0.0004061492888297163
0.8600000000000005,-6.33327787672563e-08,0.8600000000000005,-4.301235499171733e-06,0.8600000000000005,-9.259332956395206e-05,0.8600000000000005,-0.0008593895363689735,0.8600000000000005,-0.00135390924622788,0.8600000000000005,-0.0004096830450827851
0.8700000000000006,-6.526978113065208e-08,0.8700000000000006,-4.414471861565389e-06,0.8700000000000006,-9.40576740252124e-05,0.8700000000000006,-0.0008647083505834309,0.8700000000000006,-0.001361034834115637,0.8700000000000006,-0.0004132198183608297
0.8800000000000006,-6.725984426108598e-08,0.8800000000000006,-4.530189421005739e-06,0.8800000000000006,-9.553407171570153e-05,0.8800000000000006,-0.0008700145888352328,0.8800000000000006,-0.00136812516906493,0.8800000000000006,-0.000416759702628301
0.8900000000000006,-6.930435321068194e-08,0.8900000000000006,-4.648434411719317e-06,0.8900000000000006,-9.702253901441276e-05,0.8900000000000006,-0.000875308673128032,0.8900000000000006,-0.001375181308735419,0.8900000000000006,-0.000420302788969515
0.9000000000000006,-7.140472830033179e-08,0.9000000000000006,-4.76925372726655e-06,0.9000000000000006,-9.852309165372822e-05,0.9000000000000006,-0.0008805910112462629,0.9000000000000006,-0.001382204269406597,0.9000000000000006,-0.0004238491656509631
0.9100000000000006,-7.356242595408316e-08,0.9100000000000006,-4.892694922225259e-06,0.9100000000000006,-0.0001000357447024298,0.9100000000000006,-0.0008858619973432196,0.9100000000000006,-0.00138919502809859,0.9100000000000006,-0.0004273989181824205
0.9200000000000006,-7.57789395516375e-08,0.9200000000000006,-5.018806213656987e-06,0.9200000000000006,-0.0001015605125499884,0.9200000000000006,-0.0008911220124968747,0.9200000000000006,-0.001396154524552771,0.9200000000000006,-0.0004309521293769577
0.9300000000000006,-7.805580029931182e-08,0.9300000000000006,-5.147636482351726e-06,0.9300000000000006,-0.0001030974088921075,0.9300000000000006,-0.0008963714252358762,0.9300000000000006,-0.001403083663083791,0.9300000000000006,-0.000434508879409922
0.9400000000000006,-8.039457811980796e-08,0.9400000000000006,-5.279235273844605e-06,0.9400000000000006,-0.000104646446717491,0.9400000000000006,-0.0009016105920378499,0.9400000000000006,-0.001409983314313378,0.9400000000000006,-0.0004380692458769519
0.9500000000000006,-8.279688256114779e-08,0.9500000000000006,-5.413652799199349e-06,0.9500000000000006,-0.0001062076382958024,0.9500000000000006,-0.0009068398578020662,0.9500000000000006,-0.001416854316795374,0.9500000000000006,-0.0004416333038511042
0.9600000000000006,-8.526436372512455e-08,0.9600000000000006,-5.550939935552177e-06,0.9600000000000006,-0.0001077809951667875,0.9600000000000006,-0.0009120595562981747,0.9600000000000006,-0.001423697478540485,0.9600000000000006,-0.0004452011259391048
0.9700000000000006,-8.779871321563058e-08,0.9700000000000006,-5.691148226411164e-06,0.9700000000000006,-0.0001093665281305261,0.9700000000000006,-0.0009172700105927085,0.9700000000000006,-0.001430513578448453,0.9700000000000006,-0.0004487727823367796
0.9800000000000006,-9.040166510721644e-08,0.9800000000000006,-5.834329881704704e-06,0.9800000000000006,-0.0001109642472387763,0.9800000000000006,-0.0009224715334548184,0.9800000000000006,-0.001437303367654606,0.9800000000000006,-0.0004523483408836919
0.9900000000000007,-9.307499693426414e-08,0.9900000000000007,-5.980537777573529e-06,0.9900000000000007,-0.0001125741617873875,0.9900000000000007,-0.0009276644277425839,0.9900000000000007,-0.001444067570797035,0.9900000000000007,-0.0004559278671170096
1,-9.582053070111435e-08,1,-6.129825455900644e-06,1,-0.0001141962803097354,1,-0.000932848986771203,1,-0.001450806887209749,1,-0.0004595114243246144
